source_file,local_id,full_id,parent_id,pcode,pcode_name,name,description,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z
objects_1153_1093.slc,3,e8325c0d-7727-12d0-c9e2-c5e85b713a7f,9,9,volume,,,0.0025939999613910913,0.0028989999555051327,0.12365700304508209,0.14628560841083527,0.1447175294160843,0.05693928152322769
objects_1153_1093.slc,4,90f0273f-edd9-7938-ae06-506b28d69642,9,9,volume,,,0.002013999968767166,0.00092299998505041,0.14599600434303284,0.10220888257026672,0.08222217857837677,0.05132593214511871
objects_1153_1093.slc,5,e34a733b-8a23-71de-63c0-8444b4439264,9,9,volume,,,0.002013999968767166,0.00092299998505041,0.11962900310754776,0.10220888257026672,0.08222217857837677,0.05132593214511871
objects_1153_1093.slc,6,e931379f-a5b7-b962-4f42-c4b4efa388ad,9,9,volume,,,0.0,0.0,0.06469699740409851,0.1415947675704956,0.14159467816352844,0.08258671313524246
objects_1153_1093.slc,7,43827f31-32f5-16b2-08d1-c447ad65cef2,9,9,volume,,,0.0,0.07040400058031082,0.10595700144767761,0.14137178659439087,0.2897721230983734,0.2897721230983734
objects_1153_1093.slc,8,8e3b21f1-c365-6ef2-d226-b0b6f9959b34,9,9,volume,,,0.0,0.0,0.02282699942588806,0.09495406597852707,0.09495406597852707,0.03567884489893913
objects_1153_1093.slc,9,1e221c0a-d354-6530-ba8a-c4a3b1ca0a19,0,9,volume,,,160.008056640625,134.2299041748047,34.52083969116211,0.2660473883152008,0.26604723930358887,0.009999999776482582
objects_1153_1093.slc,48,df0efd04-4efd-5a37-7e86-592e409e284a,49,9,volume,,,-0.22753100097179413,0.0,0.0,0.03999999910593033,0.03999999910593033,0.0638718381524086
objects_1153_1093.slc,49,1a4f73e5-33c6-7cec-c3b0-f33ea1ad66c1,0,9,volume,,,160.84243774414062,212.00970458984375,37.87393569946289,0.5,0.5,0.5
objects_1153_1093.slc,152,9b17b5fd-9c3b-2563-e5d9-3d1b4eb4bac6,153,9,volume,,,-0.22753100097179413,0.0,0.0,0.03999999910593033,0.03999999910593033,0.0638718381524086
objects_1153_1093.slc,153,17889f90-cfdf-86f0-7093-67c2df5110c1,0,9,volume,,,170.15548706054688,211.970703125,37.889617919921875,0.5,0.5,0.5
objects_1153_1093.slc,173,f81c3e14-3f1b-2f6e-904e-6688350b2316,174,9,volume,,,0.23022499680519104,0.5655819773674011,-0.029709000140428543,0.3463332951068878,0.878734290599823,2.1487021446228027
objects_1153_1093.slc,174,188d6177-8f68-ee0f-6e7c-86681009d90c,0,9,volume,,,152.66627502441406,132.13381958007812,33.427330017089844,0.30000001192092896,0.30000001192092896,0.30000001192092896
objects_1153_1093.slc,207,56e4c95d-d8d1-7262-e605-fcb64675e9f7,253,9,volume,,,-0.3977360129356384,0.0,0.1801760047674179,1.8883522748947144,1.8234153985977173,0.7404913902282715
objects_1153_1093.slc,208,895e90be-e245-96ec-1ddc-635844cf837b,253,9,volume,,,-1.4927359819412231,0.8964999914169312,-0.12915000319480896,0.8604599833488464,0.3476400077342987,0.8604599833488464
objects_1153_1093.slc,209,addef19a-16d5-f192-db7a-7b0ad5c864c6,253,9,volume,,,1.489150047302246,0.8964999914169312,-0.12915000319480896,0.8604599833488464,0.3476400077342987,0.8604599833488464
